,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,41610.61750972764,22062.64474708172,41088.349805447484,253.28560311284056,1362.2217898832682,2318.852529182879,4961.547859922177,4557.356420233463,1829.9953307392982,7343.773929961091,79.78210116731518,714.6291828793775,433.0723735408562,206.96498054474714,117.1307392996109,223.19610894941638,198.88482490272364,529.4844357976654,544.719844357977,241.07237354085615,1030.1474708171204,160.68210116731527,126.60194552529181,808.7505836575868,142.77704280155638,132946.5416342413
East Valley,41374.258365758746,396.42879377431865,7793.384046692607,5128.651361867705,1223.01439688716,1755.9159533073928,2085.3863813229586,4489.2844357976655,1400.4233463035023,3368.19027237354,24403.704280155634,354.86381322957186,1214.1688715953296,3813.9902723735413,523.8603112840468,247.79844357976643,474.64046692607013,992.1879377431906,1219.758754863813,1355.955642023346,555.129571984436,2329.8583657587524,250.44241245136163,733.1638132295717,1905.9315175097277,238.66575875486387,109629.05758754874
Glendale,22059.45758754863,8330.189494163425,200.4007782101166,3161.3249027237352,2076.604280155642,544.0276264591442,1737.4669260700375,4594.701167315177,1303.5887159533074,1759.4307392996118,2058.4785992217912,513.651361867704,654.0836575875485,2643.2354085603124,213.0525291828795,191.73891050583654,285.47042801556427,349.2817120622569,480.3011673151752,660.1054474708174,241.82023346303498,909.2992217898833,234.6867704280155,347.96731517509744,806.150583657588,124.63657587548634,56481.15214007784
San Fernando,41147.95719844356,5604.007392996108,2934.9591439688693,1852.342801556421,713.717898832685,7196.547859922181,1958.8303501945527,8570.074319066152,3452.740466926071,2759.2210116731535,23356.17315175098,212.61206225680942,2183.6996108949425,2188.6634241245133,450.8420233463038,270.51478599221815,514.3614785992216,398.0754863813227,1324.356420233463,1410.4377431906612,534.8976653696496,2137.731906614786,399.1789883268484,449.1058365758757,1604.737743190661,411.17276264591436,114036.95953307394
West Valley,386.2735408560313,1003.5575875486379,2546.5832684824923,814.0863813229577,110.42762645914395,1188.6217898832685,1745.569649805448,2559.627626459144,1040.887548638132,2728.0891050583655,9907.398832684827,383.18054474708185,1417.685603112841,492.1875486381326,1054.9237354085608,275.1268482490271,713.46653696498,257.29688715953307,1131.0548638132298,2404.1392996108966,312.7143968871594,2351.3031128404673,249.61750972762655,173.1241245136185,1122.6498054474712,229.76381322957198,36599.35758754863
Alhambra,1371.6000000000001,1657.7867704280145,728.4392996108952,7187.398443579765,1746.781712062256,244.338521400778,9814.07276264592,2455.954474708171,382.3719844357977,88685.38054474705,3311.4120622568093,1959.4214007782111,798.9525291828794,6235.576264591443,303.35097276264577,199.2961089494164,446.82217898832715,941.7929961089499,544.2354085603114,934.007782101167,322.4821011673152,1940.808560311283,222.89260700389104,405.91750972762645,900.5575875486381,131.4762645914398,133873.1268482491
El Monte,2287.6669260700387,2308.7190661478603,1980.576264591441,2175.217120622567,1983.2887159533072,10141.561478599227,145.444747081712,8637.451750972756,1083.6568093385213,166338.4408560311,3377.2715953307397,1160.9731517509717,2489.915953307393,12914.65680933853,331.57120622568095,306.33501945525296,524.1653696498054,1778.0758754863818,828.9564202334635,46613.49221789884,229.62723735408574,3193.1696498054484,424.644747081712,906.3182879377434,930.9762645914402,274.1906614785993,273366.3642023347
Foothill,4977.524124513621,5535.925680933856,4456.183268482491,8773.73540856031,3114.5708171206225,3283.4027237354103,8619.280933852138,119884.37198443575,23535.468093385218,2968.2155642023367,3092.615564202337,883.5143968871593,2115.3284046692606,5116.310116731515,402.9591439688717,512.2439688715951,798.8280155642028,910.8887159533077,1254.330739299611,1072.9863813229572,569.3509727626458,2517.777042801555,479.37821011673174,1029.293385214008,1918.8361867704286,388.5451361867702,208211.8649805448
Pasadena,4713.557587548637,1347.5762645914415,1290.1194552529178,3342.023346303502,1131.917898832685,395.21050583657603,1139.6066147859924,23571.479377431908,0.0,1258.2852140077814,1135.5723735408556,346.49105058365745,329.9198443579769,900.3143968871592,104.2525291828794,84.46420233463037,208.7980544747082,180.7996108949417,338.4758754863812,311.62295719844354,99.86420233463039,613.2712062256812,98.67509727626465,129.51595330739298,389.32062256809377,73.25291828793782,43534.38715953307
Pomona,1853.0291828793772,3016.436964980544,1828.6649805447476,2957.8999999999996,2632.11673151751,88563.42451361868,166859.5988326849,2348.035408560313,1163.9599221789888,39569.119066147876,3169.8859922179,1588.6996108949409,2719.4789883268477,21980.694941634247,402.3964980544749,267.5062256809338,757.2540856031128,1717.5276264591466,575.1688715953305,61334.476264591445,396.3482490272373,8696.894163424127,358.5836575875485,749.7042801556419,1120.0727626459138,319.8980544747083,416946.87587548635
Central,7441.243579766536,24567.06186770429,1463.172762645914,24499.615175097264,11077.74357976654,2936.8898832684827,2986.3299610894915,3059.4665369649815,1022.4509727626455,2468.1186770428003,9432.497276264596,2824.5692607003903,1839.835408560312,12842.447859922173,716.2385214007785,517.1066147859924,828.1210116731519,1540.5354085603117,3521.612062256811,1766.2346303501945,621.5221789883266,3235.577431906615,434.6280155642021,949.0237354085608,3142.4992217898825,264.4478599221789,125998.98949416346
Hollywood-Wilshire,68.56420233463038,307.96225680933844,514.3610894941634,203.01712062256794,157.21984435797668,1928.703112840467,1220.1817120622568,754.9003891050585,333.6101167315176,1554.6077821011681,2905.7579766536965,0.0,601.0268482490271,2271.6000000000004,169.55836575875486,86.21789883268487,207.51361867704298,258.64552529182896,781.2155642023342,1091.6509727626458,182.852140077821,1475.4159533073928,99.69105058365764,141.1412451361867,731.5171206225688,76.7147859922179,18123.646692607
