,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,42023.881860465095,22140.387441860465,41150.91906976744,245.15302325581396,1395.0716279069768,2386.9399999999996,5004.753953488373,4569.408372093024,1888.6906976744167,7245.4423255813945,82.30790697674415,721.2051162790699,459.5604651162793,215.14093023255822,123.72790697674421,229.51767441860466,206.31720930232547,543.819069767442,556.4455813953491,246.68000000000006,1052.4455813953484,169.93534883720943,136.29534883720933,835.1516279069763,144.93023255813944,133774.12837209305
East Valley,41776.9288372093,406.5879069767441,7867.5474418604645,5286.137674418603,1261.3534883720934,1774.1958139534886,2068.0725581395363,4379.066511627907,1447.5623255813957,3344.576744186047,24592.182325581398,358.12651162790695,1240.1218604651158,3889.484186046511,536.211162790698,258.18930232558125,491.45209302325594,1007.4023255813952,1210.1711627906982,1344.2981395348838,573.4279069767442,2388.3688372093,261.6762790697673,781.6767441860462,1836.9851162790694,254.42976744186052,110636.23302325587
Glendale,22162.07069767441,8364.742325581396,199.83767441860456,3156.7353488372096,2136.981860465115,538.8962790697677,1773.0823255813946,4563.383720930234,1304.8013953488369,1811.6623255813954,2126.4706976744196,521.968372093023,645.5172093023258,2676.3548837209305,215.95209302325586,196.13069767441863,290.77720930232556,341.9395348837211,429.4237209302327,667.9846511627908,247.80465116279066,911.2093023255813,244.97953488372096,345.55302325581397,824.1032558139541,125.71767441860463,56824.08046511628
San Fernando,41176.42418604649,5690.2934883720945,2972.525581395349,1835.9125581395356,707.8037209302329,7295.529302325581,1958.911627906976,8527.610232558143,3390.3581395348842,2698.974418604653,23095.000000000004,215.84976744186056,2165.2879069767446,2233.1613953488363,457.92232558139557,287.60139534883723,511.8013953488371,404.16279069767427,1340.7660465116278,1440.282790697674,545.8144186046509,2169.8893023255814,413.0651162790699,443.613023255814,1574.0376744186042,420.6781395348837,113973.27674418605
West Valley,396.006511627907,981.1981395348832,2630.6334883720933,803.1120930232564,108.55209302325586,1171.7483720930231,1717.6693023255823,2609.4548837209304,1057.9893023255815,2743.480930232559,9869.207441860466,388.63302325581395,1416.7902325581397,476.1386046511633,1063.1600000000003,280.5906976744185,696.2204651162788,267.87162790697676,1154.1483720930232,2434.092093023257,310.3418604651163,2266.9251162790697,264.27953488372106,171.4097674418603,1138.0009302325584,234.54372093023255,36652.198604651174
Alhambra,1403.4804651162792,1685.740930232557,749.3981395348842,7301.519534883719,1717.813953488371,257.0441860465115,9826.355348837213,2495.975813953489,393.9432558139535,89362.16232558132,3437.492093023257,2087.3441860465123,802.2702325581397,6053.3465116279085,305.9702325581394,205.97348837209307,455.4153488372095,900.8353488372096,524.3944186046512,936.1660465116275,332.0409302325583,1973.53441860465,229.6920930232558,414.8641860465116,934.9200000000001,137.17488372093035,134924.8683720931
El Monte,2341.982325581396,2339.080465116279,2027.9781395348853,2209.3330232558137,1993.0190697674423,10176.453953488373,149.6083720930232,8664.515813953485,1102.4776744186045,165579.31348837202,3569.2027906976728,1167.8455813953483,2554.8237209302324,12962.42511627907,348.12372093023265,313.78232558139547,536.1683720930232,1753.7413953488376,848.1572093023261,46745.66232558139,215.77581395348847,3421.0525581395345,440.24976744186057,924.2218604651168,961.8409302325587,278.2674418604652,273625.1032558139
Foothill,5015.119534883726,5442.430697674419,4409.771162790696,8794.345116279068,3158.294418604652,3377.7372093023273,8630.269767441861,119858.05860465115,23706.306976744185,3027.5097674418616,3107.2079069767437,894.2283720930232,2157.5060465116276,5133.506976744186,407.32418604651167,515.5176744186044,812.3795348837215,922.5241860465122,1275.9186046511625,1074.352558139535,585.9027906976744,2623.7516279069755,477.6716279069769,1082.306046511628,1963.460465116279,394.5460465116279,208847.94790697686
Pasadena,4729.251627906977,1394.6218604651176,1279.716279069767,3289.6432558139554,1148.0311627906976,401.38976744186056,1154.6934883720928,23757.924186046508,0.0,1296.5297674418603,1169.850232558139,355.66372093023256,333.824651162791,919.1088372093024,109.65488372093026,88.10465116279074,214.41441860465116,181.806046511628,345.4311627906975,322.6939534883721,101.00511627906981,637.3399999999999,104.58139534883728,137.61860465116277,402.6213953488372,77.53348837209306,43953.053953488365
Pomona,1898.063720930232,3009.628372093023,1848.2948837209308,2972.259069767441,2615.5181395348836,89236.34000000001,166151.62511627906,2373.5572093023266,1186.4609302325584,39672.86279069769,3327.918139534885,1584.826976744186,2728.19488372093,21954.411162790704,411.9558139534884,282.18558139534883,768.2562790697675,1719.3055813953513,603.3734883720928,62387.7246511628,402.70046511627885,8672.2311627907,355.1827906976744,777.4590697674416,1139.3246511627908,322.65674418604664,418402.3176744187
