from_region,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,Sum
1.0,1323.2718505859375,2316.893285512924,9791.41223526001,864.833436388988,217.84166699647903,969.4588112831116,2343.0682876645587,691.265113517642,18518.04468720965
2.0,2280.6454467773438,4054.06760406158,16822.665786743164,3851.866411534138,4570.050109863281,4240.544063853566,3913.5234537124634,8186.176006317139,47919.538882862675
3.0,9715.918308258057,16818.12591934204,32681.579149455996,13664.910679413762,2284.5274515151978,8305.273734162562,15830.793674468994,16467.532934828836,115768.66185144545
4.0,777.8768920898438,3804.565254211426,13572.27465057373,1095.433330925538,1575.993076324463,2103.2415285110474,3484.788959503174,3107.167957305908,29521.34164944513
5.0,228.07157135009766,4551.598941206932,2266.551347732544,1570.309455100447,8008.593018831685,4759.441780090332,1118.4371166229248,10294.287841796875,32797.29107273184
6.0,812.5256500244141,4104.507911682129,8190.602020263672,2087.508487701416,4450.755508422852,1721.1822516053508,1832.7758750915527,7389.3021240234375,30589.159828814823
7.0,2025.4531555175781,3930.2079000473022,15928.778085708618,3600.763304621505,1184.1931069799466,1839.53492723417,2046.2222101473017,4527.278454780579,35082.431145037
8.0,582.1388931274414,8208.966617584229,16324.4931640625,3096.470918059349,10627.438850609353,7645.5703312508995,4551.924291610718,16810.7492354681,67847.75230177259
Sum,17745.901767730713,47788.93343364856,115578.35643980023,29832.096023745144,32919.39278954326,31584.24742799104,35121.53386882169,67473.75966803852,378044.22141931916
