,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,41824.25466666665,21455.556000000004,40479.56400000001,238.54066666666677,1457.5340000000003,2407.569333333333,4521.854666666665,4575.229333333332,1859.403333333333,6591.0979999999945,83.42866666666663,673.0093333333335,425.1693333333335,189.3433333333333,110.16333333333336,219.05733333333328,197.56733333333338,509.02866666666677,528.4140000000001,241.94799999999992,1015.9579999999999,156.66000000000003,132.69000000000003,746.9566666666665,126.22599999999994,130766.22399999993
East Valley,41593.40599999998,387.8039999999999,7759.038666666664,5149.833333333332,1318.6526666666673,1809.4066666666663,1809.8593333333338,4213.543333333335,1437.9540000000002,3267.2606666666675,24751.888000000014,344.9713333333333,1235.6979999999996,3723.8679999999995,519.7080000000002,235.4246666666666,460.5459999999999,961.5133333333335,1202.9726666666672,1354.050666666667,534.0280000000001,2333.7426666666656,250.03733333333318,797.3853333333333,1800.2599999999989,239.68400000000003,109492.5366666667
Glendale,21485.414666666667,8119.446666666669,190.1686666666666,3121.517333333332,2316.0873333333334,514.8113333333336,1823.7939999999999,4503.291333333335,1269.7573333333335,1730.1506666666671,2074.597333333334,500.4506666666664,660.6500000000002,2783.143333333333,195.81933333333342,177.58866666666663,267.99933333333325,338.38466666666676,418.78866666666676,653.6306666666668,230.92933333333335,870.9666666666669,226.82666666666663,337.70600000000013,771.6360000000004,121.722,55705.278666666665
San Fernando,40472.927999999985,5659.958666666671,3030.842666666668,1789.4106666666669,720.764,8000.602666666665,1889.5639999999999,7823.032666666672,2970.3720000000003,2499.9533333333343,22150.45,213.87933333333348,2132.012000000001,2301.4586666666664,448.19,265.18466666666677,549.5939999999998,402.658,1322.8286666666663,1358.6060000000004,523.1306666666663,2236.1420000000007,383.7886666666668,394.19399999999985,1572.1986666666671,369.118,111480.86200000001
West Valley,394.17,937.4346666666662,2710.5446666666676,818.7613333333339,102.95133333333337,1073.7746666666665,1624.815333333334,2333.603333333334,985.0219999999997,2470.5033333333336,9549.940666666667,395.4833333333337,1364.9666666666672,474.7033333333336,1075.4840000000002,252.24933333333325,664.9126666666666,278.00133333333326,1095.2753333333333,2404.683333333334,290.142,2182.5719999999997,244.37266666666676,171.576,1028.3773333333334,220.0466666666667,35144.36733333334
Alhambra,1454.0886666666665,1624.7719999999993,710.1453333333333,7973.178666666667,1665.251333333333,234.2713333333333,8577.039333333338,2332.726666666667,361.2706666666666,88100.97733333329,3560.304666666668,1945.9213333333325,781.3740000000003,5275.790666666668,264.6146666666666,177.89666666666668,444.2993333333334,848.9353333333331,504.23666666666645,890.0553333333337,324.44266666666675,1961.5799999999997,203.81200000000004,381.84,931.2120000000001,127.22133333333333,131657.25800000003
El Monte,2316.6166666666663,2175.119333333333,2125.136000000001,2203.5733333333333,1976.6993333333335,8876.377999999995,129.968,8611.907333333336,1009.4813333333332,163010.22399999996,3545.339999999997,1191.2399999999998,2701.617333333332,12889.307999999997,333.55800000000005,295.2133333333333,474.4159999999999,1650.0706666666672,794.0093333333335,47872.730666666655,173.05733333333336,3761.3680000000004,417.19666666666666,920.6773333333335,1004.2233333333342,256.742,270715.8713333334
Foothill,4494.994666666669,5167.342666666666,4241.991333333331,8181.533999999999,2901.8560000000007,3143.289333333334,8583.415333333332,115295.6813333333,22147.27933333333,3175.5926666666674,3113.906666666666,862.9619999999996,2087.1020000000008,4976.351333333333,432.1886666666668,473.4686666666664,752.9040000000002,891.9226666666665,1223.416666666666,1066.964,610.8893333333331,2599.398666666666,462.38600000000014,985.0313333333335,2031.5253333333333,393.2899999999999,200296.68400000007
Pasadena,4739.1073333333325,1409.4846666666674,1223.3793333333335,2880.552,1061.216,379.49466666666666,1058.5273333333337,22231.518666666663,0.0,1192.610666666667,1150.5713333333333,355.49999999999994,313.7460000000003,814.8726666666668,96.35866666666665,78.72933333333332,200.59466666666665,166.10066666666665,321.5266666666664,305.2640000000001,92.766,619.4973333333336,88.06933333333336,127.69599999999994,371.7266666666668,69.00400000000005,41347.91399999999
Pomona,1878.201333333333,2931.480000000001,1780.765333333334,2843.036,2508.957333333333,87995.91866666665,163556.5473333333,2424.9840000000004,1093.5106666666672,38629.984,3325.009333333335,1563.2459999999999,2636.5613333333345,21679.243333333343,384.9966666666667,240.77666666666667,754.840666666667,1704.4800000000012,614.6986666666664,64105.57133333334,401.71999999999997,8266.847333333335,324.6613333333334,717.5513333333333,1039.5633333333335,286.95866666666666,413690.1106666666
