,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,40373.167708333334,20590.254166666666,39327.42708333335,246.57499999999993,1564.1802083333334,2332.2843749999997,4104.336458333332,4519.439583333333,1799.0843750000001,5863.978124999999,91.30104166666666,690.4229166666668,519.2697916666667,189.4083333333333,108.53645833333333,233.50416666666663,195.921875,516.9375000000001,551.1739583333335,224.0989583333333,1009.4,160.2052083333334,161.57291666666666,749.321875,140.21874999999997,126262.0208333333
East Valley,40153.86666666666,420.20624999999995,8532.453125,5112.825000000001,1348.8302083333333,1906.3906249999998,1754.0822916666666,4192.251041666667,1517.3999999999999,3036.535416666666,25167.56250000001,371.78125000000006,1303.73125,3782.513541666666,509.49895833333335,259.409375,520.4614583333331,1030.4718750000004,1198.220833333333,1374.3697916666667,544.9468750000001,2404.842708333333,279.0052083333333,863.6635416666664,1789.9843749999993,266.4010416666667,109641.70520833337
Glendale,20633.090624999997,8777.288541666674,200.75937499999998,3403.1635416666663,2277.839583333333,581.9281250000001,1879.9249999999995,4472.7875,1113.1125000000004,1717.3125000000007,2221.1281250000006,537.6489583333332,716.5250000000001,2735.584375,205.96979166666668,177.48124999999996,268.0229166666665,346.03749999999997,516.2572916666666,705.5250000000002,248.32395833333337,932.3177083333336,239.7479166666666,352.2979166666668,732.8677083333333,133.428125,56126.37083333334
San Fernando,39287.704166666656,5552.745833333335,3200.1302083333326,1907.1875000000002,719.1166666666668,9489.869791666666,1997.0854166666666,7267.015625000005,2412.694791666668,2483.6166666666677,20563.594791666663,254.52916666666678,2041.0739583333332,2355.1250000000005,486.4020833333334,277.65000000000003,588.9031249999999,397.2510416666667,1535.7218750000002,1399.7687500000002,576.5375,2501.0343749999997,399.4322916666668,443.8510416666665,1545.3333333333333,383.8916666666667,110067.26666666662
West Valley,438.11875000000003,1053.3291666666662,2726.8041666666672,839.0979166666672,114.39791666666673,1045.2104166666666,1473.2406250000004,2340.5281250000003,986.9781250000001,2320.3781249999993,8811.896875000004,433.17395833333353,1255.6416666666673,553.9135416666668,1044.4979166666665,222.14687499999994,614.0312500000001,291.3322916666668,1155.0458333333333,2320.7468750000003,280.36666666666673,2104.9385416666664,252.88541666666674,197.3770833333333,1013.2229166666665,232.82708333333338,34122.12812500001
Alhambra,1587.1187499999999,1769.112499999999,764.0624999999999,9380.33541666667,1645.3999999999999,247.63229166666667,7647.365625000003,2364.632291666667,413.43229166666674,84313.52395833333,4325.5302083333345,1700.453125,851.6937500000003,4461.284375,275.6666666666667,179.96354166666666,479.6458333333335,851.9114583333335,572.5552083333333,924.7843750000001,372.65937499999995,2108.3666666666663,215.053125,456.23958333333326,970.3395833333334,154.34895833333331,129033.11145833337
El Monte,2255.3145833333333,2166.2239583333335,2190.927083333334,2236.3000000000006,1843.1499999999999,7879.845833333329,153.19791666666666,8301.175000000003,1055.296875,157956.77083333328,3789.584374999998,1192.7166666666665,2711.8906249999995,12081.686458333328,330.18750000000006,293.2854166666668,464.4937499999998,1709.486458333333,799.7718750000007,51621.62916666666,197.6510416666666,3680.877083333335,413.24062499999997,832.8125,1130.132291666667,292.04270833333334,267579.69062500005
Foothill,4101.360416666669,4860.571875000001,4097.024999999999,7189.087500000001,2696.9302083333337,3054.558333333333,8257.230208333332,106459.46458333336,20236.719791666666,3234.3083333333343,3284.3499999999985,879.8427083333335,2124.1458333333344,4970.961458333332,464.9229166666668,458.95312499999994,781.1864583333336,908.0312499999997,1226.7364583333328,1141.3218749999999,649.1260416666664,2749.4927083333328,508.0187500000002,1015.3614583333334,2135.4781250000005,424.46354166666674,187909.64895833333
Pasadena,4672.337499999999,1439.9510416666674,1047.8479166666668,2379.534375,1068.8989583333337,397.065625,1060.0999999999997,20325.04375,0.0,1180.2437499999999,1253.8562499999998,363.8031249999999,317.5250000000001,784.4125000000003,103.7083333333333,85.70312499999999,184.1354166666667,170.83125000000004,346.653125,309.3760416666667,99.25520833333337,631.8,105.05104166666668,146.55624999999998,385.40625,72.57604166666665,38931.67187500001
Pomona,1835.7114583333334,2761.3750000000014,1796.6458333333328,2712.6947916666672,2340.307291666666,84290.97291666665,158561.0864583334,2615.3531250000005,1080.0562500000003,36121.70937500001,3310.0281250000007,1512.1281250000002,2748.547916666667,21179.375000000004,430.13750000000005,236.48125000000007,764.2447916666671,1806.0895833333336,652.1749999999998,64347.202083333344,438.0625,7148.884375000002,334.5458333333333,734.7729166666667,1005.2906250000005,308.59479166666665,401072.47291666665
Central,6005.384374999999,24811.297916666674,1590.2499999999998,21453.542708333338,10387.767708333331,3879.517708333333,3048.003125000001,3171.673958333335,1167.639583333333,2859.711458333332,9154.702083333335,2408.077083333334,2114.021875,9615.365625,755.1593750000001,541.1427083333334,810.8968749999998,1381.703125,3116.8406249999994,1703.036458333334,638.3114583333332,3003.522916666667,455.6593749999999,1205.2822916666664,2929.4229166666664,309.13958333333335,118517.07291666664
Hollywood-Wilshire,77.58125,308.44479166666673,517.7906249999997,221.50312499999998,199.77916666666673,1672.4968749999998,1329.5968749999995,761.2447916666666,346.7989583333333,1469.7666666666667,2364.852083333333,0.0,520.2197916666668,2552.3677083333337,160.29270833333337,82.74791666666667,168.26770833333327,296.1604166666666,825.8125000000003,1062.8135416666662,191.07291666666663,1282.061458333333,107.27083333333341,154.8302083333334,634.4291666666669,83.80520833333331,17392.00729166667
Northeast,703.3583333333332,806.4697916666663,513.0802083333333,2388.670833333334,1066.6979166666663,993.2729166666668,2808.8479166666657,1047.6812499999999,360.26770833333353,2523.3302083333333,2037.6072916666665,640.5895833333333,160.07604166666667,2727.360416666667,248.95104166666673,210.57291666666674,329.9145833333334,342.14062499999983,613.3729166666664,3749.780208333334,229.61458333333326,1853.2614583333336,283.471875,379.67812500000014,1026.7614583333336,130.64062499999997,28175.47083333333
West,605.1552083333336,1864.0208333333333,1079.903125,968.0864583333338,2095.4916666666663,4408.117708333335,11597.809375000003,2027.0145833333343,1257.9197916666665,20905.479166666668,7993.717708333331,2531.725,2145.6968749999996,1189.471875,5212.892708333336,827.2562499999999,2294.422916666667,1293.0458333333331,8405.745833333334,4583.570833333333,1650.852083333333,7357.522916666666,1019.8989583333331,374.4343749999998,10560.978125,854.644791666667,105104.87499999999
Compton,186.0562499999999,376.98854166666655,229.553125,469.79062500000015,864.8843750000004,282.7166666666667,291.2260416666666,590.2364583333332,100.903125,361.3322916666668,441.8468750000002,172.678125,300.09270833333323,5341.283333333332,0.0,7543.317708333336,1096.7010416666665,244.65520833333335,11159.976041666663,317.70520833333336,238.63958333333326,449.6927083333334,237.8104166666667,1082.0375000000006,464.9874999999999,244.0447916666667,33089.15625000001
South,123.33125000000001,233.31458333333333,184.87812499999995,301.2958333333335,193.67916666666667,182.66458333333324,386.5604166666667,487.10520833333356,81.7375,301.7906250000001,331.49583333333334,94.51458333333336,153.04583333333332,701.5687500000003,7517.770833333335,0.0,113.86562500000002,91.46666666666668,2515.4802083333334,283.6104166666667,406.77708333333345,777.1187500000002,106.42500000000007,153.26562500000006,526.4854166666667,84.9708333333334,16334.218749999995
Southeast,243.0739583333332,347.1739583333335,217.83645833333335,707.782291666667,810.1010416666668,358.0885416666667,490.20104166666664,572.0822916666666,194.94062500000004,820.6427083333336,642.6822916666667,252.13854166666678,272.2322916666667,1987.5677083333337,1220.7895833333334,111.96041666666667,0.0,270.1552083333334,1674.281249999999,506.85312500000015,487.6708333333334,922.6697916666666,167.15833333333336,187.73333333333335,988.3354166666663,62.430208333333304,14516.581249999997
Southwest,151.75520833333331,713.3906250000001,365.63645833333356,492.5718749999999,312.16249999999997,879.8614583333333,1495.5927083333333,730.3916666666668,279.48229166666664,1809.5229166666659,1356.6187499999999,281.3677083333333,497.03749999999997,1311.0937499999995,160.56458333333333,107.05520833333334,389.75416666666655,0.0,424.6156250000001,1043.3239583333336,239.45208333333338,1226.6239583333333,157.56250000000003,223.90104166666663,515.2968750000001,73.23229166666668,15237.867708333333
Bellflower,568.1520833333335,1839.8468750000004,1128.746875,1818.4468749999996,2255.1958333333337,1272.8374999999999,863.4093749999998,1252.0395833333334,393.91875,1401.4437499999995,2695.676041666667,964.3156249999996,1254.1510416666665,10453.770833333334,11260.354166666664,2544.237500000001,1740.4281250000004,624.4260416666665,20287.527083333334,1198.4208333333336,600.3249999999997,1550.8187500000004,1398.8187500000001,9582.225000000002,65326.36458333332,1169.6520833333338,145445.54895833338
East LA,538.6562499999999,1581.5374999999997,614.83125,1688.5781249999998,1898.7333333333327,1162.1875000000002,50956.48645833332,1386.5104166666667,489.02812500000005,64547.78124999998,2056.316666666667,1046.9979166666665,3674.4697916666664,6301.779166666664,283.0395833333334,279.50312500000007,382.20520833333325,1112.4250000000004,390.4041666666665,1312.4104166666673,349.1010416666668,60621.00625,606.6895833333334,861.709375,906.9833333333335,304.15104166666686,205353.52187499995
San Antonio,209.7229166666667,397.284375,255.75416666666675,690.8250000000002,496.1593749999999,252.76770833333333,555.0666666666668,640.9916666666666,97.9354166666667,460.1552083333334,823.9864583333336,224.11145833333342,220.6385416666667,1237.2854166666673,192.40520833333335,406.2156250000002,439.815625,239.525,489.2302083333334,298.3895833333332,0.0,538.3927083333335,268.20104166666664,458.3010416666666,396.22708333333327,202.40625,10491.79375
Whittier,1154.6989583333332,2449.892708333335,1276.6312500000001,3025.6000000000017,3183.3666666666672,2436.5249999999987,3268.5000000000014,1794.6343749999999,553.1843749999998,7457.2979166666655,4551.885416666665,1370.8854166666663,1910.596875,10105.804166666669,583.6010416666664,616.8583333333333,604.8885416666666,1336.7385416666664,860.2041666666668,61214.817708333336,435.810416666667,118856.63437500004,940.7052083333333,1528.697916666667,2002.8645833333323,541.4354166666666,234062.7593749999
Harbor,151.63854166666673,272.81874999999997,205.24895833333326,406.25624999999985,225.85624999999996,149.32499999999996,541.5364583333331,589.0041666666666,104.79895833333335,407.8999999999998,574.4385416666668,114.90208333333332,254.32604166666667,1168.8197916666668,262.4229166666668,96.81250000000006,117.16250000000002,141.12291666666667,1361.447916666667,404.1937499999999,261.13124999999997,978.8145833333338,0.0,226.38958333333326,2188.0750000000003,137.69791666666666,11342.140625000005
Inglewood,138.98750000000004,419.6937500000001,273.3125000000001,774.5843749999998,435.78333333333313,159.71041666666673,640.7749999999997,519.5562500000001,112.22499999999997,609.4822916666666,633.6135416666665,151.2364583333334,215.17812500000002,1160.222916666667,1137.6145833333337,149.75000000000003,139.4354166666667,185.36874999999998,8443.997916666667,453.575,315.45416666666677,1187.4499999999996,237.734375,153.71145833333335,18760.50520833334,221.96041666666667,37630.91875
Long Beach,719.6125000000002,929.1729166666663,822.6968750000001,2666.7739583333337,1751.366666666666,636.7937500000004,722.3989583333333,467.21562499999965,367.8635416666666,837.5343750000003,1722.9781249999999,568.2947916666667,1362.189583333333,10254.660416666668,541.295833333333,511.1958333333335,814.2677083333333,536.453125,64259.09791666666,656.7854166666671,309.9979166666667,544.7489583333331,2317.511458333333,18265.47812500001,116109.05937500001,14417.117708333333,243112.5614583334
Torrance,136.41562500000003,143.80833333333337,106.2645833333333,351.01874999999995,261.9041666666666,119.18541666666663,236.99999999999997,322.58437499999985,67.45,286.9718749999999,218.24479166666666,87.10104166666663,118.7645833333333,583.2531250000001,179.9791666666666,98.4927083333334,68.18854166666671,61.434374999999996,1141.3270833333333,354.43125000000003,191.21562499999993,560.6802083333332,139.26354166666667,135.678125,14396.579166666663,0.0,20367.23645833334
Sum,126678.20312500004,106669.128125,54529.3239583333,112912.98020833333,40740.37500000002,129303.72291666667,264348.6083333334,178802.55416666673,39311.22395833334,401223.62604166655,116192.17187500001,18246.313541666674,29933.935416666678,120115.8010416667,33757.53333333335,16426.729166666668,14408.843749999993,15864.18541666666,134489.43645833328,203839.615625,10176.454166666666,226982.97395833334,11351.366666666667,40177.85833333334,249190.73229166665,21246.121874999986,2716919.81875
