,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,42091.86078431374,23565.54845938376,43587.800280112046,244.6064425770307,1441.0728291316532,2391.109523809523,5656.814845938373,4921.229691876752,2015.480112044817,7056.278711484594,74.39187675070022,730.6767507002802,441.5742296918766,230.98179271708696,124.90840336134454,234.77002801120443,213.62661064425762,572.6439775910364,607.252380952381,272.333893557423,1260.9212885154059,171.2949579831933,121.45014005602246,933.7044817927169,147.41428571428577,139109.74677871147
East Valley,41867.79859943977,406.48319327731076,9340.078431372547,4724.91904761905,1192.0302521008407,1781.2521008403362,2403.871148459385,4986.902521008403,1507.5862745098048,3586.7904761904747,23739.132492997207,331.2056022408963,1270.2187675070015,3859.9019607843143,613.0764705882352,258.71624649859945,486.8560224089636,958.0173669467786,1329.502801120448,1422.8546218487393,600.6840336134456,2457.238095238094,263.5652661064423,755.9535014005603,2128.8882352941177,249.05546218487416,112522.57899159675
Glendale,23548.53669467786,10000.78151260504,197.9563025210083,3008.1308123249305,2116.448459383754,543.4291316526612,1818.0022408963587,4731.8221288515415,1371.0453781512604,1792.7871148459396,2193.8378151260513,514.6543417366946,641.8114845938372,2611.9036414565844,227.2764705882354,206.05518207282904,300.57983193277323,327.98347338935594,466.98403361344566,675.3610644257702,236.5459383753501,947.8585434173668,259.4893557422969,332.36078431372556,816.5644257703082,129.44201680672265,60017.64817927172
San Fernando,43645.37002801118,5232.005882352943,2844.63389355742,1763.5711484593849,694.1644257703083,6773.955742296923,2029.5890756302522,8752.371988795525,3541.50756302521,3145.0921568627455,22278.075910364154,196.23501400560227,2342.0540616246526,2103.871988795517,467.3873949579835,294.8851540616248,504.1582633053217,421.5198879551818,1488.6675070028016,1452.909523809524,577.8918767507002,2440.2554621848753,406.26974789915977,451.59103641456596,1846.6689075630243,428.54369747899176,116123.24733893559
West Valley,385.2117647058824,929.1159663865543,2627.629691876752,743.4759103641459,108.88459383753502,1266.9980392156865,1812.0588235294117,2800.017366946779,1146.9347338935568,3197.2232492997196,9642.494957983195,362.478711484594,1428.2607843137253,449.1061624649862,1139.4086834733896,292.88851540616264,707.3756302521004,275.6221288515405,1206.3971988795518,2489.4551820728293,325.20980392156844,2495.815126050421,276.7913165266107,171.94845938375332,1211.4946778711492,230.8005602240896,37723.098039215685
Alhambra,1423.96162464986,1645.7145658263296,725.7795518207286,6666.540896358542,1863.0406162464974,257.07338935574234,11263.22324929972,2793.1661064425766,398.1221288515408,91956.62436974785,3744.8843137254908,2276.4445378151263,781.6159663865546,7397.946218487395,317.67983193277314,221.36414565826314,453.57675070028034,956.7436974789928,597.9098039215693,970.2599439775913,348.8540616246498,1940.8033613445382,240.5574229691876,424.8098039215686,972.9084033613443,139.36554621848745,140778.97030812324
El Monte,2370.010084033613,2614.7103641456583,2044.1941176470602,2262.659103641456,2154.226890756301,11627.415126050426,149.67058823529396,8903.396358543412,1222.974789915967,168254.4661064425,3546.8204481792714,1243.266106442577,2491.3490196078433,13192.010364145666,344.3512605042017,324.77675070028033,536.1406162464986,1756.6266106442583,905.7453781512612,47682.59579831932,219.8361344537815,3452.7490196078415,464.31064425770325,972.1764705882359,919.2170868347343,277.64425770308134,279933.3394957984
Foothill,5714.285714285719,6240.657142857143,4656.87843137255,8985.220168067228,3480.208123249301,3684.2739495798346,8941.498879551818,128756.08459383753,27011.958263305343,2810.7078431372565,3661.0784313725503,866.313445378151,2128.4392156862755,5337.2064425770295,374.93137254901967,545.2725490196074,871.0044817927178,943.5341736694685,1210.3823529411764,1102.5299719887953,562.4126050420169,2624.987394957981,497.91596638655506,1074.1114845938378,1946.315686274509,364.2036414565824,224392.41232493008
Pasadena,5064.305322128851,1415.4901960784325,1338.2098039215684,3414.546218487393,1256.3431372549023,409.1484593837537,1287.2053221288522,27043.831092436994,0.0,1335.8784313725482,1288.2565826330526,340.6775910364144,339.3252100840339,945.3428571428574,108.41260504201679,86.90504201680673,235.4784313725489,179.42941176470592,365.45798319327736,322.68963585434176,101.15490196078431,605.5560224089639,100.1425770308124,132.463025210084,399.2753501400565,77.08487394957989,48192.61008403363
Pomona,2046.8067226890744,3363.694957983192,1803.9394957983188,3279.220448179271,3118.794677871149,91798.05854341741,168798.7529411766,2354.7302521008414,1248.5232492997204,41805.22745098039,3310.4509803921583,1821.1126050420175,2816.16274509804,22963.580392156866,412.7879551820729,283.92717086834733,785.5352941176468,1709.113725490198,641.7190476190475,64497.668627450956,384.3577030812324,9113.566666666662,368.0238095238092,794.0675070028012,1197.6700280112045,326.7257703081235,431044.2187675069
