,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,41641.409501187656,23975.673396674585,45187.86769596199,250.82850356294534,1499.3456057007131,2456.1969121140132,5932.323040380042,5107.846555819483,2180.0684085510684,6680.866745843229,71.8484560570071,729.2520190023755,440.3023752969121,236.79216152019004,126.34109263657963,238.28646080760086,219.05415676959603,590.3166270783847,649.5294536817104,283.4985748218527,1375.5862232779093,176.23634204275538,121.92161520190032,1009.7871733966745,150.6655581947744,141331.84465558192
East Valley,41435.55083135389,410.6881235154395,10636.248931116392,4345.988361045132,1182.8325415676961,1765.563420427553,2493.499762470309,5072.0301662707825,1613.2638954869371,3671.526603325414,23532.26579572449,333.32351543943,1324.804275534441,3897.378147268409,654.7342042755344,259.26318289786224,500.07268408551073,939.3610451306415,1338.7980997624707,1502.2482185273166,610.8703087885988,2430.5660332541556,268.03729216151993,765.896199524941,2181.153206650832,248.5591448931118,113414.52399049888
Glendale,23956.977909738696,11271.606413301664,198.4230403800475,2898.253444180523,2118.328266033257,535.3769596199528,1894.8684085510686,4913.553919239906,1507.4524940617584,1813.0389548693604,2275.5042755344425,511.78717339667463,649.4562945368172,2619.1700712589086,228.4536817102138,207.19643705463182,310.75320665083143,317.109976247031,453.17790973871746,681.2192399049883,236.02137767220898,935.5479809976242,268.2496437054631,335.9465558194775,831.1448931116394,132.38123515439432,62100.99976247035
San Fernando,45197.493349168646,4823.585510688839,2764.682422802849,1689.1028503562952,703.9368171021379,6519.805225653209,2120.4567695961987,8491.04133016628,3471.320190023754,3332.9415676959616,21238.802375296917,186.26318289786238,2331.6828978622357,2087.00403800475,474.8173396674588,291.9429928741094,513.6211401425179,437.2432304038002,1511.1030878859854,1450.8605700712583,596.5361045130642,2651.0071258907387,402.7527315914492,447.44964370546325,1901.4907363420411,432.03159144893124,116068.97482185277
West Valley,383.0263657957245,904.4681710213779,2689.810213776725,702.7102137767226,111.86840855106888,1310.2638954869358,1823.312826603325,2860.8016627078396,1180.7802850356293,3634.828503562946,9285.399049881236,353.52042755344394,1440.9040380047506,454.37624703087914,1179.8049881235154,294.62992874109284,693.7866983372917,292.6320665083133,1250.477197149644,2532.5786223277905,324.93111638954855,2522.8273159144906,283.4973871733967,177.47054631828956,1255.9973871733966,247.22327790973873,38191.926840855114
Alhambra,1477.945368171021,1630.3237529691187,739.5793349168642,6434.856769596197,1909.748693586697,255.35320665083128,11938.725178147257,3006.2793349168637,401.66769596199555,93519.28123515437,4041.912114014252,2556.2213776722097,754.2185273159142,7644.3567695962,321.938242280285,220.783372921615,469.36437054631864,962.389073634206,576.1881235154401,1009.1171021377675,349.37054631828966,1946.0068883610456,245.89572446555815,437.6192399049881,982.5712589073631,139.49239904988124,143971.20570071257
El Monte,2433.403562945368,2702.2282660332544,2072.6931116389555,2302.729691211401,2243.094774346793,12314.174584323046,146.3087885985746,9307.278622327789,1383.2114014251783,167878.75558194768,3654.846318289786,1269.0978622327796,2432.582897862233,13045.200000000006,343.61757719714984,316.62921615201924,541.0484560570068,1715.184798099763,936.1030878859863,48371.26413301661,210.66270783847975,3681.345843230403,481.6584323040383,993.000000000001,917.4964370546322,275.82114014251795,281969.4372921615
Foothill,6003.449643705465,6412.334916864609,4800.778147268408,8654.31330166271,3585.2228028503587,3952.8256532066534,9435.890736342042,132456.40023752965,28973.58907363422,2801.421852731594,3942.5007125890725,867.7394299287408,2137.4225653206663,5408.347743467934,362.71068883610445,545.8985748218522,885.8327790973881,950.6453681710218,1198.9598574821853,1105.212351543943,559.4218527315913,2688.1349168646066,503.2878859857486,1079.2722090261288,1925.1814726840842,355.42209026128273,231592.21686460817
Pasadena,5249.543705463184,1496.6961995249414,1481.6287410926373,3305.7375296912114,1299.6197149643708,414.0394299287412,1457.622565320667,29010.62399049883,0.0,1376.6377672209023,1440.777434679334,336.8178147268408,343.07980997624713,1008.2902612826609,107.89691211401423,87.04228028503569,245.3387173396674,175.88456057007122,370.25154394299307,326.4646080760096,102.51068883610446,617.3228028503567,99.56603325415686,134.21187648456052,400.8505938242284,77.7859857482186,50966.24156769598
Pomona,2206.2083135391913,3444.235154394299,1816.5090261282648,3440.3422802850355,3516.1289786223297,93326.48503562952,168428.10831353933,2420.961520190026,1291.0805225653216,43035.79453681711,3438.2095011876495,1938.804988123516,2796.735629453681,23524.29121140141,426.514489311164,290.34180522565316,809.8779097387165,1705.1610451306426,662.469833729216,66413.6076009501,382.9845605700713,8985.873634204268,370.7444180522561,799.0845605700711,1203.437054631829,329.6268408551071,437003.6187648456
Central,6655.911163895481,23829.703087885995,1561.4144893111636,22701.79904988122,10308.315914489318,3637.985510688835,3252.1579572446544,3709.1460807600974,1356.1691211401426,2644.018289786223,11347.850356294535,2446.9420427553423,1879.2691211401434,14171.47553444179,754.4572446555817,576.2627078384803,814.8432304038007,1602.503087885984,3993.2819477434673,1927.6175771971496,599.1895486935862,3220.422565320662,453.91282660332547,997.9042755344419,3450.9263657957245,282.71496437054634,128176.1940617577
Hollywood-Wilshire,63.16793349168645,289.3726840855105,504.8377672209028,189.9057007125888,142.30403800475057,2528.7574821852736,1365.6617577197155,773.0441805225652,323.1042755344419,1881.456294536817,2607.284560570069,0.0,603.6615201900237,1947.4738717339662,180.88836104513064,86.13087885985759,202.85938242280304,215.01662707838497,962.8539192399054,1164.2667458432309,175.86270783847985,1679.6456057007124,103.1693586698337,129.46152019002375,814.9909738717342,70.73515439429926,19005.913301662706
Northeast,733.557719714965,771.7627078384792,581.1945368171018,2413.8558194774373,998.4612826603335,899.7344418052256,2533.774584323042,1021.3223277909739,377.64061757719753,2778.545843230404,1880.9807600950114,729.7902612826608,165.94133016627072,2566.3123515439424,220.7116389548693,257.3966745843229,385.91615201900225,314.5135391923989,651.217102137767,3819.1824228028495,234.83277909738723,2373.279809976249,271.2926365795727,361.0674584323044,1067.4463182897855,133.86152019002378,28543.59263657959
West,489.2874109263652,2099.00380047506,1301.1342042755336,936.7973871733972,2077.8805225653196,7709.515914489311,12682.278147268406,2271.4363420427553,1253.9242280285039,23493.84061757719,12080.650593824228,1910.1510688836102,2048.325890736341,1038.2320665083146,6471.227078384801,916.4743467933494,2207.50190023753,1076.739904988124,10396.094536817103,6081.574821852732,1787.6068883610453,9135.331116389554,1097.059144893112,394.5315914489313,14885.445130641336,876.2453681710219,126718.29002375294
Compton,236.7513064133017,431.7116389548694,234.21306413301664,490.38717339667494,903.289786223278,296.6213776722089,298.4669833729215,563.0589073634209,108.0729216152019,391.77387173396704,434.5391923990498,191.82779097387194,298.0213776722087,6548.475059382414,0.0,6332.605938242284,918.014489311164,217.58028503562934,19331.620190023757,285.6125890736344,276.9515439429928,361.17577197149683,276.32019002375296,934.2940617577208,407.25415676959625,239.2798099762471,41007.919477434676
South,142.22707838479812,269.14323040380066,213.8197149643705,341.64845605700725,215.80308788598597,221.73254156769622,444.62802850356326,596.2952494061759,99.60118764845603,336.2190023752973,396.34418052256547,98.0921615201901,178.69548693586708,666.329928741093,6327.15486935867,0.0,129.40950118764854,87.98693586698334,3403.3503562945334,325.64513064133024,482.2907363420426,858.0491686460817,109.27125890736339,156.25605700712603,517.114726840855,92.64061757719699,16709.7486935867
Southeast,254.31947743467924,399.9674584323037,266.7182897862231,697.4724465558199,891.5396674584316,407.3786223277909,568.9047505938241,689.1444180522562,245.90237529691217,897.3655581947738,810.2857482185274,198.50071258907377,307.63610451306386,1784.5619952494055,1031.0878859857482,123.80902612826601,0.0,226.0216152019001,1803.2700712589065,607.0475059382425,454.29358669833726,853.5893111638962,172.59904988123503,171.1959619952494,1015.6539192399048,64.40736342042753,14942.6729216152
Southwest,164.69643705463184,691.0921615201904,362.6028503562947,509.1304038004748,285.1655581947742,1039.1926365795728,1509.9441805225656,724.592636579572,298.53657957244667,1664.808076009502,1543.3919239905006,214.45083135391934,498.9384798099767,1007.680047505938,167.90997624703104,109.0384798099763,312.9099762470309,0.0,479.0826603325416,1125.3921615201912,232.6866983372925,1477.9536817102155,159.31282660332533,180.8776722090262,507.59738717339627,71.81591448931115,15338.800237529698
Bellflower,611.7579572446557,1774.7163895486924,1153.3334916864605,2154.5002375296917,2386.9456057007114,1268.052494061758,829.8092636579571,1350.3686460807605,365.26508313539193,1251.0465558194771,3042.6821852731614,948.3605700712588,1185.2320665083125,12608.319239904993,19508.718289786233,3167.277197149644,1809.6482185273162,614.5394299287415,24089.857482185278,1108.8966745843234,826.8624703087896,1123.6384798099764,1774.0691211401424,9458.557244655582,73831.24228028498,1338.4453681710218,169582.1420427553
East LA,698.0914489311165,1600.8743467933493,687.8090261282663,1689.1674584323046,1960.1869358669833,937.028503562945,47741.955819477414,1277.2047505938242,524.559382422803,66613.3964370546,1971.9517814726835,1115.4413301662703,3647.8562945368176,8024.54156769596,287.0741092636578,316.7192399049881,429.5836104513068,1248.263895486937,372.26080760095005,1045.7042755344416,350.6425178147267,76390.4931116389,617.8733966745838,823.7484560570072,978.5591448931124,292.2755344418053,221643.26318289785
San Antonio,256.728028503563,452.39881235154405,246.37078384798104,753.1893111638957,553.1163895486932,280.07862232779087,456.16722090261226,574.8684085510691,106.16413301662716,387.7503562945368,687.1980997624713,200.4769596199526,224.5857482185275,1280.1228028503574,238.2251781472685,461.3928741092632,449.1524940617577,219.3292161520188,562.073871733966,286.0178147268409,0.0,528.0382422802851,328.05439429928754,436.8802850356295,417.342992874109,202.31068883610456,10588.033729216142
Whittier,1493.1947743467933,2512.434679334916,1444.898099762471,3594.509263657957,3754.2885985748203,2211.4520190023763,3295.509976247032,2065.70997624703,492.53539192399063,9281.908313539192,4485.087173396675,1631.770308788598,2472.2921615201903,11749.693586698344,649.0546318289785,684.1035629453681,494.6952494061763,1505.5235154394309,943.8831353919245,77312.81520190026,436.5909738717342,105577.36033254156,1130.2855106888367,1578.7396674584315,2179.4885985748215,446.4752969121138,243424.30000000008
Harbor,173.82541567695952,265.4408551068883,218.0128266033253,397.4717339667455,260.0130641330167,132.29334916864607,652.2144893111636,594.2434679334916,110.23942992874112,518.5885985748221,578.01567695962,113.0589073634205,281.34798099762475,1132.473396674585,292.04513064133016,103.83277909738703,107.48812351543926,137.19952494061755,1655.817339667458,493.98646080760113,306.33752969121144,1112.022565320665,0.0,200.6154394299287,2244.835629453681,131.71187648456066,12213.131591448922
Inglewood,137.83562945368166,466.2579572446553,259.1931116389553,571.3904988123518,373.1263657957241,165.50023752969122,615.7802850356292,514.7299287410926,121.26223277909739,559.4472684085506,809.815439429929,131.79596199524943,251.16627078384812,963.5049881235165,1042.8857482185283,147.58313539192392,118.26484560570077,152.15320665083135,8299.126840855102,451.80380047505923,293.5589073634204,1025.3871733966744,241.89429928741092,114.61662707838487,18993.783135391925,175.29287410926372,36997.1567695962
Long Beach,1099.9114014251788,793.61971496437,669.5130641330163,2923.3365795724458,1948.8698337292167,737.7002375296915,811.1220902612822,532.1097387173395,402.9591448931117,741.5197149643706,2059.971496437054,550.2078384798102,1129.8589073634203,14379.867695961995,635.8650831353914,510.1755344418048,802.1648456057006,521.9973871733969,72647.52992874099,605.5752969121141,326.2220902612825,510.98907363420426,2361.419714964369,18531.688836104517,137564.55439429928,14329.471258907368,278128.22090261267
Torrance,143.79762470308796,156.98147268408562,112.31543942992874,310.6800475059384,263.73776722090275,181.3135391923991,242.30475059382402,345.7178147268408,60.28313539192394,287.20973871733975,230.41116389548677,81.55415676959618,144.9130641330166,540.1220902612827,177.09667458432287,98.81947743467919,64.6980997624703,54.08907363420425,1292.4921615201904,348.8988123515436,204.5581947743469,608.7223277909744,130.68646080760098,119.88099762470323,14495.405938242278,0.0,20696.690023752977
Sum,141698.65985748224,111542.05700712593,60993.40712589074,119637.14370546324,44244.65391923987,144547.57054631834,279495.6705463184,221074.2866983374,51176.43135391922,436973.1895486936,124497.54465558185,18987.845130641334,30257.880760095002,140537.90308788596,42321.68218527315,16531.690736342058,14455.13254156769,15908.12256532067,159771.65771971497,221032.13919239896,10645.295011876482,234670.31710213766,12327.14608076009,39882.1885985748,285980.75130641356,21136.692874109252,3000327.0598574844
