,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,39285.843076923076,19511.08769230769,38785.470769230764,236.8292307692308,1560.3000000000004,2236.0723076923077,3761.658461538461,4669.823076923076,1699.7984615384614,5265.0215384615385,88.55230769230768,642.4584615384617,497.4046153846154,175.71384615384616,100.7230769230769,221.36,173.78307692307695,500.4276923076924,537.1600000000001,204.2907692307692,930.8738461538461,146.18153846153845,157.7492307692308,674.5984615384614,124.71076923076923,122187.89230769227
East Valley,39083.95384615384,382.4584615384616,8973.789230769227,5684.392307692307,1370.8600000000001,1860.7615384615378,1693.32,3953.84153846154,1538.9230769230771,2844.735384615384,25934.25692307693,395.7261538461538,1330.7076923076922,3758.3399999999992,499.0215384615385,232.18769230769226,468.1723076923076,1060.2200000000003,1234.749230769231,1416.956923076923,504.17692307692306,2321.4600000000005,272.59230769230766,914.5584615384613,1857.9984615384612,218.2661538461538,109806.42615384617
Glendale,19623.396923076925,9175.883076923083,208.66153846153847,3575.8800000000006,2366.0738461538463,567.3323076923077,2018.5615384615376,4283.027692307693,1135.7923076923075,1684.9984615384615,2195.047692307693,541.9984615384615,735.8984615384612,2868.292307692307,184.3723076923077,166.7615384615385,252.14615384615374,337.7876923076923,597.5707692307692,645.0769230769231,224.38307692307689,961.9753846153845,232.22923076923075,352.69846153846163,678.9338461538463,127.94769230769228,55742.727692307686
San Fernando,38625.71076923077,6162.420000000002,3494.7292307692296,1983.001538461538,766.0030769230768,9800.178461538462,2081.346153846154,6802.5692307692325,2179.298461538462,2334.5261538461546,19834.890769230766,259.67076923076917,1981.3138461538465,2442.103076923078,479.98153846153843,248.57538461538465,606.8292307692307,379.6215384615385,1618.5046153846156,1418.9200000000003,532.4753846153847,2559.726153846153,371.0923076923077,405.88923076923083,1656.538461538462,379.3476923076922,109405.26307692309
West Valley,453.3138461538461,1128.0153846153846,2891.132307692307,897.5676923076925,115.49538461538464,1085.136923076923,1419.1800000000003,2104.9738461538464,1078.8738461538462,2300.96923076923,9036.301538461541,462.4184615384616,1248.0676923076924,557.083076923077,1074.3215384615382,206.1215384615383,568.4692307692308,299.3538461538461,1018.3907692307694,2286.92,245.36461538461538,1943.6246153846153,233.91692307692307,197.60307692307694,923.5092307692305,239.79692307692312,34015.92153846154
Alhambra,1612.2953846153844,1743.1876923076923,749.4138461538461,9667.035384615387,1643.0769230769233,213.85538461538468,7217.678461538465,2357.0138461538463,411.01230769230773,82797.17692307691,4740.930769230768,1754.5307692307695,916.6015384615384,4133.058461538461,243.0569230769231,151.57384615384618,460.1584615384616,838.0092307692307,555.4646153846154,957.3261538461537,354.02769230769235,2118.843076923077,208.81230769230763,497.24615384615385,907.2830769230769,126.79538461538462,127375.46461538463
El Monte,2104.4892307692303,2080.956923076923,2375.5892307692307,2210.161538461539,1896.0215384615376,7335.036923076921,144.8692307692308,7819.160000000002,1029.210769230769,155170.9523076923,3614.338461538461,1252.4461538461537,2636.0953846153843,11848.787692307691,317.4830769230771,272.7123076923078,438.4292307692306,1729.3676923076926,766.7138461538465,55081.070769230755,207.46923076923082,3877.6307692307696,385.6999999999999,893.6399999999998,1107.8769230769233,295.94769230769225,266892.15692307695
Foothill,3815.4969230769243,4479.9384615384615,3940.213846153846,6562.62923076923,2397.263076923077,2935.2953846153837,7730.960000000001,101664.70769230773,19459.981538461536,3210.1292307692315,3335.664615384615,876.2015384615387,2098.4261538461546,5014.170769230768,438.6507692307692,393.6676923076922,765.5953846153847,941.1999999999997,1056.3815384615382,1204.7600000000004,681.1923076923076,2742.6153846153848,516.8384615384616,957.3984615384618,2324.9661538461546,392.9907692307694,179937.33538461535
Pasadena,4835.809230769232,1448.5615384615392,1063.4323076923079,2143.3984615384616,1161.075384615385,372.4830769230769,1009.2799999999997,19552.684615384616,0.0,1118.4815384615385,1318.1061538461538,379.4907692307691,290.3969230769231,788.2153846153847,95.73384615384613,74.41076923076923,167.81846153846155,168.8707692307692,292.096923076923,285.7938461538462,87.22615384615388,608.2476923076923,109.69384615384617,132.45230769230767,392.49230769230763,59.09999999999999,37955.35230769231
Pomona,1754.792307692308,2618.8446153846157,1764.5092307692305,2540.178461538463,2270.855384615385,82804.89384615383,155872.6153846154,2673.9707692307693,1038.2769230769234,34023.93538461539,2916.1661538461535,1428.3615384615387,2606.984615384616,20610.798461538463,427.42769230769227,225.8153846153847,768.9246153846153,1888.901538461539,686.3769230769229,64859.5046153846,447.8323076923076,5865.489230769232,341.5061538461538,715.603076923077,988.7938461538465,302.09538461538466,392443.4538461539
