,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,40803.36850220265,24240.788766519807,45329.577753303965,248.43502202643168,1535.435903083701,2495.3317180616737,6026.284361233472,5179.45969162996,2246.873127753303,6551.647797356827,70.63788546255503,727.4361233480178,445.3138766519823,242.05286343612335,128.93348017621153,238.61475770925105,217.65682819383247,597.5929515418501,664.9425110132163,288.45991189427303,1419.9242290748896,176.2041850220264,119.72863436123359,1049.9775330396471,152.4566079295155,141197.1350220264
East Valley,40597.98854625547,405.77334801762123,11721.327533039652,4179.467841409691,1166.4634361233482,1757.3370044052863,2553.3110132158595,5278.2718061673995,1705.2724669603542,3712.447136563874,23349.030837004426,328.7768722466962,1341.3277533039652,3852.8114537444944,670.1259911894272,258.4321585903084,497.42665198237876,925.6682819383263,1315.8063876651986,1527.4325991189432,610.5770925110132,2392.7693832599116,266.2859030837002,765.2991189427314,2174.994493392071,247.21211453744513,113601.63722466966
Glendale,24224.331057268715,12378.635242290751,196.0257709251101,2918.3845814977954,2125.557929515421,535.5319383259914,1920.972687224669,4919.245814977974,1588.66255506608,1782.6464757709264,2284.963656387666,506.6647577092511,650.1645374449342,2612.902863436124,230.148898678414,207.7594713656388,316.57180616740084,310.52180616740094,452.29339207048486,670.3372246696035,236.4801762114537,924.3039647577089,267.97665198237877,331.23612334801766,834.9863436123352,131.35000000000002,63558.6557268723
San Fernando,45339.387444933935,4724.171806167404,2792.881497797356,1677.1019823788556,710.5874449339202,6452.174449339212,2149.41718061674,8421.948017621155,3540.9129955947155,3408.3011013215864,20933.433700440528,183.4594713656389,2345.8689427312806,2082.6971365638756,481.6960352422909,292.6162995594713,522.9345814977977,443.16629955947116,1526.2839207048455,1465.5528634361226,611.8581497797361,2744.898458149782,401.70154185022045,445.4823788546255,1932.846475770923,430.8444933920705,116062.22466960356
West Valley,380.2572687224671,893.1110132158592,2702.513436123351,683.2196035242293,110.54955947136564,1347.1277533039652,1861.8462555066078,2873.0572687224676,1185.876431718062,3705.7000000000007,9177.177312775331,347.8433920704846,1444.9658590308368,441.25704845815017,1202.2916299559472,298.10969162995616,695.5770925110132,295.84757709251073,1275.026431718062,2543.2200440528636,327.707488986784,2551.048678414098,284.67422907489004,172.70726872246672,1268.6572687224661,246.74229074889865,38316.11189427315
Alhambra,1507.5052863436117,1627.1008810572673,730.4651982378849,6337.8191629955945,1969.9605726872237,252.96519823788535,12505.34977973567,3242.586784140969,400.6927312775334,94115.14339207047,4087.6905286343613,2519.9341409691647,750.2940528634356,7659.607048458151,324.595154185022,221.21365638766494,475.62599118942774,955.7068281938346,560.5314977973577,1020.0806167400881,343.1773127753303,1941.9955947136568,244.52819383259907,430.61255506607904,970.7962555066076,137.95264317180616,145333.93105726867
El Monte,2464.7995594713652,2798.0088105726873,2073.976872246697,2324.0169603524223,2304.8341409691625,12888.862995594718,143.53502202643148,9354.98634361233,1416.6273127753307,168228.33590308364,3677.170264317181,1305.3341409691639,2428.9689427312774,13115.38259911895,342.4134361233484,315.22488986784157,541.3779735682817,1681.833039647577,946.0385462555068,48847.974889867815,213.71784140969157,3732.3999999999987,488.0667400881061,1007.3599118942742,915.3830396475776,274.56960352422914,283831.1997797357
Foothill,6107.691850220264,6662.075550660793,4820.534361233482,8579.35947136564,3625.3667400881086,4220.61806167401,9467.935242290749,134521.09955947136,29930.444933920717,2794.728193832602,3972.15859030837,870.1770925110129,2138.605726872248,5460.606387665201,356.90903083700437,544.3136563876647,894.8396475770932,959.8339207048462,1195.2422907488983,1128.0737885462552,556.5464757709251,2689.8971365638736,504.6367841409695,1076.5865638766525,1913.9878854625535,347.8876651982381,235340.15660792956
Pasadena,5319.33986784141,1569.2074889867854,1566.2997797356834,3384.361453744493,1309.49295154185,413.11189427312786,1490.300660792953,29963.618061674017,0.0,1379.1182819383257,1454.6803964757698,336.38524229074903,347.6198237885464,1043.4603524229083,108.66365638766523,85.80814977973573,250.01189427312775,178.357268722467,373.7196035242291,328.2160792951541,102.36960352422905,614.2405286343612,99.05748898678422,132.86960352422903,405.8563876651986,77.23656387665207,52333.403083700454
Pomona,2274.5191629955943,3518.9671806167407,1794.4171806167394,3488.249559471367,3601.5006607929536,93917.73942731283,168748.2030837005,2450.8365638766527,1290.1447136563884,43632.5407488987,3519.3696035242306,2023.3896475770932,2814.531277533039,23456.53281938324,422.1123348017623,291.9969162995594,822.1997797356822,1701.9105726872253,678.9013215859031,67132.52797356826,384.5896475770925,8952.85506607929,373.73414096916275,797.2176211453743,1213.7720264317181,328.9762114537448,439631.7352422908
