,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0,42044.15033,22675.40367,42033.93033,241.4416667,1359.385667,2327.611667,5231.193333,4641.022,1859.176333,7484.179333,76.666,712.6706667,420.0303333,214.6803333,119.62,226.8443333,203.0536667,545.6893333,551.7386667,252.799,1096.548333,165.721,120.905,852.8936667,144.9506667,135602.3053
East Valley,41807.34533,391.2883333,8183.024,5017.497667,1207.298667,1756.889667,2228.411667,4668.107667,1417.335,3499.585667,24191.07867,342.5733333,1228.261667,3793.572667,564.203,249.951,466.2623333,976.8856667,1272.178,1370.641667,569.4356667,2415.376,256.158,735.8803333,2024.621333,236.3783333,110870.2413
Glendale,22664.74833,8784.539333,199.355,3036.035667,2092.308,547.0813333,1762.772333,4651.265667,1317.975,1768.318667,2090.344,512.448,645.2336667,2657.796667,222.2903333,199.5186667,291.188,335.0916667,476.653,657.306,242.8473333,930.105,244.669,341.8956667,816.8316667,124.849,57613.467
San Fernando,42086.49633,5526.664,2853.236667,1793.203,691.29,7007.121333,1960.145333,8777.692667,3525.444667,2880.409667,23561.094,204.6146667,2283.520667,2139.991,455.8426667,281.3383333,507.6653333,402.329,1426.016333,1406.207,548.937,2259.243333,398.089,439.282,1736.366333,414.8746667,115567.115
West Valley,387.1836667,957.5286667,2556.410333,780.3916667,108.339,1229.183,1784.666667,2671.92,1076.092,2796.110333,9967.276333,371.0743333,1426.344,473.149,1077.287,288.6656667,710.855,262.1673333,1144.653,2425.898,317.2563333,2448.929,262.3893333,177.4876667,1151.278333,230.4893333,37083.025
Alhambra,1373.326,1615.538,714.4766667,6941.394,1814.030333,247.2543333,10493.78767,2617.790667,379.9283333,90371.95833,3291.62,2007.095667,787.3826667,6871.407667,306.2446667,207.7693333,444.1156667,945.8036667,577.5253333,935.2903333,330.895,1900.916333,234.143,407.013,955.992,135.3466667,136908.0453
El Monte,2300.557,2466.404667,1989.102333,2191.694,2043.630333,10840.19433,144.695,8700.291667,1088.066667,168504.3583,3480.982333,1203.628333,2516.787333,13199.735,335.5816667,319.931,524.5246667,1780.711667,844.7863333,46992.42233,222.8066667,3271.744667,436.5966667,929.504,929.631,273.1436667,277531.5117
Foothill,5278.617333,5833.181667,4532.605,9017.597,3263.824667,3441.468,8684.193,123590.7267,24651.983,2876.808,3264.401333,870.5686667,2110.967,5203.810667,395.23,533.1503333,829.092,926.8093333,1233.591667,1122.505667,558.0493333,2544.952,494.8776667,1039.106333,1992.923,379.2836667,214670.323
Pasadena,4798.846333,1358.935667,1297.390333,3414.315,1170.456333,396.7226667,1152.784333,24681.54933,0,1270.958,1143.864667,339.4276667,333.145,899.888,104.9436667,86.20333333,219.004,179.7826667,345.7806667,312.6286667,99.412,599.904,97.11066667,125.638,396.7653333,73.50166667,44898.958
Pomona,1883.014333,3204.896,1804.171,3088.132333,2705.777,90229.40267,169047.8447,2310.131667,1181.085,40425.53233,3215.683,1687.36,2807.346,22215.503,394.905,273.2313333,762.56,1703.591,626.064,62484.11033,379.3836667,8909.236333,357.645,756.2163333,1152.658667,317.4643333,423922.945
