,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,39696.86948453608,24259.11752577319,44502.62886597937,248.47092783505153,1505.025773195877,2492.497319587629,5989.260412371125,5094.356907216497,2229.3430927835043,6414.543298969072,70.09422680412368,735.3138144329896,446.48432989690707,247.81237113402062,131.3092783505155,239.8534020618556,219.4408247422679,610.4286597938143,681.9119587628873,292.7849484536081,1446.0426804123708,177.45917525773194,120.64845360824751,1073.2628865979377,154.55917525773208,139079.51979381443
East Valley,39490.54845360821,406.21938144329914,12720.459793814436,4021.0323711340197,1167.65793814433,1754.1674226804125,2602.5717525773216,5511.812371134019,1791.5649484536093,3746.430721649482,23233.987010309287,327.72721649484555,1371.7119587628868,3881.179381443301,681.5305154639178,260.85608247422687,495.32783505154634,937.5191752577322,1334.8971134020628,1544.2202061855676,619.0562886597937,2434.599381443299,269.105567010309,771.7756701030928,2202.314226804124,249.0886597938146,113827.36144329901
Glendale,24242.1080412371,13357.586597938149,196.13030927835047,3022.524948453608,2121.350309278353,530.5329896907219,1931.3204123711332,4902.050309278349,1585.3585567010311,1778.2824742268056,2271.270721649485,505.5979381443299,654.2111340206185,2632.2239175257737,233.64536082474223,209.3103092783505,320.2793814432989,315.38659793814446,456.3179381443302,661.7278350515464,240.76948453608244,925.5012371134017,268.4717525773195,329.32185567010316,832.1583505154642,131.63896907216503,64655.07773195882
San Fernando,44497.06453608251,4628.476494845364,2985.6117525773197,1678.0422680412385,734.1513402061852,6296.798969072167,2202.2193814432994,8541.36680412372,3707.017113402063,3496.40412371134,20592.051340206188,182.04969072164963,2368.635876288665,2072.2109278350504,491.17835051546393,294.1125773195875,529.8820618556704,453.4127835051543,1568.826597938144,1496.7068041237112,624.5084536082477,2828.100824742269,400.97773195876283,456.0080412371134,1969.7536082474203,439.73092783505143,115535.29938144336
West Valley,376.9540206185568,909.8197938144333,2695.95608247423,666.9876288659797,109.00536082474225,1370.4630927835053,1864.883092783505,2920.8004123711344,1218.0622680412373,3668.3562886597947,9232.420412371133,346.2863917525772,1468.862886597938,435.98907216494877,1211.4958762886595,305.3078350515465,694.5523711340206,294.64701030927796,1302.8696907216492,2550.820618556702,329.96226804123694,2546.2552577319593,285.9350515463919,167.4057731958761,1283.0016494845354,250.1468041237113,38507.24701030929
Alhambra,1494.8290721649478,1622.5503092783488,721.3103092783501,6130.040412371132,1979.813402061855,249.91402061855663,12809.772783505145,3376.919793814434,399.27298969072206,94043.4418556701,3989.202474226804,2433.8136082474257,749.7465979381439,7648.4663917525795,328.68432989690723,223.09072164948438,486.30371134020675,950.9579381443313,562.8581443298976,1021.3408247422678,341.6921649484534,1950.9622680412378,247.83670103092777,438.303917525773,959.0123711340203,137.67855670103094,145297.81567010304
El Monte,2448.9868041237105,2846.0791752577306,2066.1136082474227,2359.2826804123692,2319.4612371134003,13204.816082474232,143.4971134020616,9279.334226804123,1418.63381443299,168102.63030927826,3702.086185567011,1342.2818556701034,2424.2348453608247,13216.566597938152,347.4138144329899,319.19113402061873,546.985360824742,1663.0985567010302,952.690103092784,49345.03731958761,212.8268041237112,3696.005773195875,484.3647422680416,1015.425154639176,914.4410309278352,281.218350515464,284652.70268041233
Foothill,6073.053814432987,6872.739587628867,4827.95319587629,8700.477319587633,3664.5515463917563,4356.9835051546415,9395.013402061857,135475.95587628867,30157.89525773197,2752.0424742268046,3981.9053608247423,881.0934020618555,2156.8478350515475,5505.4206185567045,354.9030927835051,549.8923711340201,900.3270103092791,974.2451546391753,1196.0748453608246,1138.0678350515461,562.338144329897,2694.4070103092768,510.6934020618559,1092.0742268041242,1939.765773195875,353.60020618556706,237068.32226804126
Pasadena,5234.270515463914,1654.4228865979396,1556.62556701031,3546.142886597937,1344.416288659793,415.28185567010325,1499.37319587629,30180.83113402063,0.0,1381.5604123711328,1451.0408247422672,335.0272164948455,350.33484536082483,1067.9973195876294,111.13134020618556,86.83030927835058,252.6507216494846,183.41917525773204,388.479587628866,327.1146391752575,103.82969072164944,615.7220618556705,101.66927835051555,137.81257731958758,413.8101030927839,76.81092783505161,52816.60536082474
Pomona,2255.885979381442,3557.220206185568,1800.9484536082464,3534.2802061855677,3554.827422680413,93856.31525773199,168611.89546391752,2437.483298969073,1295.447422680413,43760.31422680415,3583.074020618558,2098.2521649484547,2817.4688659793824,23315.851752577295,419.35917525773203,297.65670103092776,826.410103092783,1690.17381443299,701.2488659793815,67356.07690721645,383.7470103092783,8959.687628865973,375.90041237113394,802.467628865979,1229.012783505155,331.71835051546446,439852.7241237115
