,Antelope Valley,East Valley,Glendale,San Fernando,West Valley,Alhambra,El Monte,Foothill,Pasadena,Pomona,Central,Hollywood-Wilshire,Northeast,West,Compton,South,Southeast,Southwest,Bellflower,East LA,San Antonio,Whittier,Harbor,Inglewood,Long Beach,Torrance,Sum
Antelope Valley,0.0,41998.10410256411,23824.251282051282,44680.76871794872,249.9810256410256,1469.3671794871796,2430.5279487179487,5754.271282051275,5045.4546153846195,2113.149487179486,6828.905384615381,73.73435897435893,733.3735897435901,448.7956410256409,236.72179487179494,126.57717948717954,237.9987179487179,218.7587179487179,586.895641025641,628.2420512820518,275.92923076923074,1328.9564102564104,173.42153846153846,123.61615384615389,973.8317948717951,150.68000000000004,140712.31384615385
East Valley,41786.49487179485,411.0492307692308,9997.09487179487,4534.408205128207,1183.0815384615387,1776.1517948717947,2447.7964102564106,5035.928974358974,1586.445384615386,3631.068974358973,23672.742564102587,331.36794871794865,1293.6917948717937,3908.449743589745,630.9123076923078,262.7928205128205,494.97743589743584,944.0182051282051,1342.9615384615386,1482.7271794871797,608.6894871794874,2478.680256410255,269.2784615384613,771.4656410256416,2146.301282051282,252.63410256410273,113281.2110256411
Glendale,23805.712820512796,10659.980512820513,196.61999999999998,2963.825641025641,2126.5364102564126,542.0228205128208,1886.747948717949,4825.138974358975,1461.8220512820512,1799.2053846153863,2261.080512820514,518.691794871795,644.5074358974357,2606.2564102564115,228.85923076923083,207.54846153846145,300.4625641025642,323.8428205128206,454.8258974358977,679.5,237.3033333333333,936.5635897435895,265.19794871794863,337.24205128205136,827.345897435898,130.2476923076923,61227.08820512824
San Fernando,44707.55153846151,5003.422820512823,2793.5082051282025,1726.8017948717963,692.9517948717948,6653.38153846154,2101.744358974359,8630.350256410264,3501.8310256410264,3236.5141025641033,21747.330512820514,191.20948717948733,2345.7351282051304,2098.7661538461534,476.051025641026,295.7889743589745,504.8679487179486,435.9410256410256,1507.8892307692304,1479.63,592.0079487179488,2571.6382051282067,409.71666666666687,457.6976923076923,1884.54564102564,433.08589743589766,116479.95897435899
West Valley,385.3984615384616,915.762307692308,2657.752051282054,719.9989743589746,108.97846153846153,1292.6348717948717,1809.9099999999994,2845.9941025641037,1171.5307692307686,3440.3794871794885,9468.024358974359,356.3817948717948,1421.2425641025634,448.5302564102566,1159.364871794872,295.1625641025644,697.7274358974355,285.2243589743587,1248.139230769231,2508.4279487179488,326.5779487179486,2518.9182051282064,279.5956410256411,175.35435897435877,1238.210512820513,239.71871794871797,38014.94025641026
Alhambra,1449.9202564102561,1647.1971794871781,737.9841025641025,6582.257948717947,1885.8679487179475,260.0679487179487,11577.884358974352,2829.114615384614,402.7738461538465,92828.72538461538,3941.7953846153837,2422.005641025641,765.5938461538459,7545.1476923076925,321.1151282051282,225.06589743589726,461.50128205128243,966.5987179487195,588.1120512820519,1000.912820512821,353.7230769230767,1955.3394871794876,244.4123076923076,432.14948717948715,995.63,141.0894871794872,142561.98589743586
El Monte,2410.24,2659.295641025641,2073.1625641025657,2311.3858974358973,2190.2356410256407,11954.02051282052,149.35230769230748,9163.834358974356,1315.9292307692315,168209.41564102558,3600.0525641025633,1262.8333333333337,2466.441794871795,13150.348717948727,345.44846153846174,321.35025641025663,539.5705128205126,1737.202307692308,931.4179487179493,48024.82692307691,217.60025641025635,3584.5871794871773,470.47615384615403,982.3758974358981,927.2061538461545,279.3569230769232,281277.96717948717
Foothill,5828.288205128209,6354.099230769231,4728.552307692309,8850.17666666667,3554.773589743591,3753.550512820515,9251.144871794872,130904.81794871794,28064.3694871795,2850.0476923076953,3868.148717948718,865.9771794871791,2147.6561538461547,5403.873333333334,374.2530769230768,545.3020512820509,881.3407692307699,951.4397435897444,1182.4738461538461,1090.6235897435895,560.2423076923076,2711.59333333333,497.4846153846158,1088.0743589743593,1942.2182051282039,360.3710256410256,228610.8928205129
Pasadena,5185.367692307694,1470.714871794873,1427.616153846154,3357.196410256411,1285.9169230769232,415.9815384615386,1388.591794871796,28109.86179487181,0.0,1365.3110256410248,1389.455384615384,338.4538461538461,343.45230769230807,988.7861538461544,108.98871794871795,88.76846153846157,241.92794871794862,178.82717948717948,370.3174358974361,326.15948717948714,103.06820512820507,614.180256410257,100.78666666666679,135.69717948717943,403.46384615384665,79.54230769230777,49818.4335897436
Pomona,2142.652307692307,3393.5897435897436,1824.1853846153833,3370.3943589743585,3343.4053846153865,92652.16384615388,168753.84820512834,2441.9633333333354,1276.4046153846161,42492.66589743591,3421.225641025642,1890.6733333333345,2788.3110256410264,23447.197692307676,420.8310256410258,287.5676923076923,799.9994871794866,1719.2797435897444,662.3258974358973,65768.48384615383,386.522564102564,9052.934871794867,369.5561538461534,807.6366666666668,1212.1869230769232,331.56974358974384,435057.57538461534
